Cod,Judet,PT,PA,PV,IIM,ISE,RDT,RDV,RTD,IPA,IVA
tr, Teleorman,12.43,64.28,23.29,187.36,12.18,19.34,36.24,55.58,31.78,33.66
cl, Calarasi,15.15,67.21,17.64,116.49,11.55,22.54,26.25,48.79,29.53,32.86
sj, Salaj,15.96,66.91,17.13,107.27,9.58,23.86,25.59,49.45,29.5,32.57
gr, Giurgiu,14.29,67.1,18.61,130.24,12.07,21.3,27.74,49.04,29.53,32.42
ot, Olt,12.36,68.58,19.06,154.14,9.94,18.03,27.79,45.82,31.09,32.39
nt, Neamt,14.04,68.57,17.39,123.88,11.11,20.48,25.37,45.85,29.23,32.22
hr, Harghita,15.36,67.14,17.5,113.98,9.82,22.87,26.07,48.94,28.32,32.13
bt, Botosani,15.13,68.95,15.92,105.17,12.85,21.95,23.09,45.04,26.46,32.03
cv, Covasna,15.76,67.5,16.74,106.18,8.62,23.35,24.79,48.15,28.42,32.02
ms, Mures,15.46,66.95,17.59,113.72,10.24,23.1,26.27,49.36,29.25,32
il, Ialomita,15.98,66.56,17.46,109.29,11.67,24,26.23,50.23,29.78,31.96
vl, Valcea,12.01,66.72,21.26,177,15.39,18,31.87,49.87,31.79,31.88
bz, Buzau,13.67,66.66,19.67,143.9,12.44,20.5,29.5,50.01,31.26,31.88
cj, Cluj,14.48,67.4,18.13,125.18,10.48,21.48,26.89,48.38,29.14,31.82
dj, Dolj,14,67.5,18.5,132.17,9.87,20.74,27.41,48.15,30.07,31.54
ph, Prahova,13.47,67.58,18.95,140.74,10.99,19.92,28.04,47.97,31.58,31.41
hd, Hunedoara,12.33,68.79,18.88,153.13,8.75,17.92,27.44,45.37,33.15,31.18
mm, Maramures,14.66,69.25,16.09,109.72,8.24,21.18,23.24,44.41,28.64,30.9
bc, Bacau,15,69.4,15.6,103.98,10.03,21.62,22.48,44.1,28.49,30.68
vn, Vrancea,14.82,67.48,17.71,119.5,12.11,21.96,26.24,48.2,29.24,30.68
br, Braila,12.09,68.25,19.66,162.6,11.32,17.71,28.8,46.51,31.59,30.63
vs, Vaslui,15.84,69.9,14.26,90.03,11.57,22.67,20.41,43.07,25.72,30.44
ag, Arges,13.45,68.07,18.48,137.37,9.74,19.76,27.14,46.9,31.04,30.34
gj, Gorj,12.78,70.75,16.46,128.79,10.06,18.07,23.27,41.34,30.85,30.28
bh, Bihor,15.24,68,16.76,110,9.08,22.41,24.65,47.06,28.91,30.25
mh, Mehedinti,13.36,68.32,18.32,137.18,9.74,19.55,26.82,46.36,31.45,30.23
db, Dambovita,14.35,68.4,17.25,120.26,10.46,20.98,25.23,46.2,29.31,30.22
sv, Suceava,17.43,67.86,14.72,84.46,11.87,25.68,21.69,47.37,26.33,30.14
bn, Bistrita-Nasaud,16.28,68.35,15.37,94.46,9.36,23.81,22.49,46.31,28.22,30.12
ab, Alba,13.56,67.98,18.47,136.21,10.35,19.94,27.17,47.11,30.85,29.96
sm, Satu Mare,15.01,70.01,14.98,99.83,8.26,21.44,21.4,42.84,28.29,29.46
cs, Caras-Severin,12.34,68.41,19.25,156.04,9.46,18.03,28.14,46.17,31.89,29.36
gl, Galati,13.44,69.98,16.58,123.36,9.83,19.2,23.69,42.89,28.35,29.34
ar, Arad,14.22,68.07,17.71,124.54,9.75,20.89,26.01,46.9,29.83,28.55
if, Ilfov,17.14,70.02,12.84,74.94,10.38,24.48,18.34,42.82,25.13,28.25
sb, Sibiu,15.38,68.12,16.5,107.28,11.3,22.58,24.23,46.81,28.78,28.25
is, Iasi,16.87,69.51,13.62,80.73,10.68,24.27,19.59,43.86,24.92,28.14
tm, Timis,14.54,68.75,16.71,114.92,10.63,21.14,24.3,45.45,28.83,27.56
ct, Constanta,15.11,68.13,16.76,110.97,8.75,22.17,24.6,46.78,29.82,27.55
tl, Tulcea,13.58,69.09,17.33,127.6,8.36,19.65,25.08,44.73,31.15,27.33
bv, Brasov,15.67,67.03,17.3,110.4,9.74,23.38,25.81,49.19,29.73,27.29
b, Municipiul Bucuresti,13.9,67.84,18.26,131.4,12.62,20.48,26.92,47.4,29.05,26.67
